,China,United States,United Kingdom,Australia,Germany,Angola,Albania,United Arab Emirates,Argentina,Armenia,Austria,Azerbaijan,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei,Botswana,Canada,Chile,Switzerland,Cameroon,Colombia,Costa Rica,Cuba,Cyprus,Czech Republic,Algeria,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Ethiopia,Spain,Finland,Fiji,France,Georgia,Ghana,Greece,Guatemala,Honduras,Hungary,India,Indonesia,Ireland,Iran,Iceland,Israel,Italy,Cambodia,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kyrgyz Republic,Kuwait,Sri Lanka,Latvia,Lesotho,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Mauritania,Mauritius,Macedonia,Mexico,Mongolia,Mozambique,Namibia,Nepal,New Zealand,Nicaragua,Nigeria,Netherlands,Norway,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Paraguay,Qatar,Romania,Russia,Saudi Arabia,Singapore,El Salvador,Suriname,Slovakia,Slovenia,Sweden,Syria,Chad,Thailand,Tajikistan,Trinidad and Tobago,Tunisia,South Africa,Turkey,"Tanzania, United Republic of",Uganda,Ukraine,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
1944,592.53,707.14,1143.31,387.13,770.62,1117.93,1216.01,76.66,500.71,519.58,1392.99,397.71,952.61,1026.95,738.23,2108.52,724.47,95.88,583.07,1658.25,998.12,1731.15,1947.14,2934.33,423.76,494.25,647.52,1634.77,1643.62,2475.35,3559.85,1330.64,557.84,839.55,59.06,744.94,1396.75,1744.02,32.55,648.21,796.48,477.24,540.6,2502.28,789.31,949.54,1224.47,765.1,2681.76,1901.74,701.38,1159.82,2721.95,1093,182.41,895.58,484.63,807.36,1939.91,2417.78,1415.65,175.32,181.82,649.17,317.33,75.09,1865.39,605.92,693.76,605.59,1005.35,1308.36,1114.11,2845.18,2365,311.54,110.59,1941.77,752.5,739.46,162.53,967.8,311.84,1497.92,1987.24,2731.52,1085.01,831.91,1059.94,66.22,420.82,2418.87,1437.6,2341.32,597.36,534.48,724.43,76.79,703.39,447.65,72.41,1908.7,1904.98,2285.89,913.64,1418.66,692.12,348.81,341.55,1540.62,399.27,2038.51,232.26,441.01,636.91,1104.82,1238.9,529.97,1156.71,118.14,2163.48,1907.94,169.21,1010.22,654.59
1945,578.58,756.16,1072.96,431.15,711.09,1062.03,961.16,63.29,516.75,479.13,1105.44,398,834.28,982.7,904.36,2362.82,432.66,76.48,643.05,2090.8,1151.11,1841.38,1870.61,3762.21,315.64,503.28,673.63,1460.47,1528.04,2541.83,2909.13,1266.42,419.56,716.15,53.56,753.08,1441.15,1808.94,32.93,630.8,778.37,471.28,467.16,2850.92,645.01,950.87,1151.52,650.72,2622.19,1990.52,530.5,1106.96,2824.69,1023.69,232.45,1006.78,322.5,668.13,2075.25,2541.03,1784.29,125.78,238.96,534.81,415.84,143.55,1445.2,710.45,584.1,762.67,819.45,1328.09,1189.65,3391,2365,385.59,113.12,1941.77,545.25,614.82,227.86,995.03,255.66,1609.03,1859.43,2330.31,1114.02,738.48,977.97,101.59,310.55,2349.74,1552.68,2341.55,680.39,627.53,967.52,50.25,499.83,442.8,76.98,2420.2,1839.79,2466.93,740.09,1077.06,655.38,259.38,353.82,1616.34,504.57,1890.09,176.83,360.32,513,1040.48,1169.29,497.31,1145.33,217.6,2043.44,1945.09,154.84,949.32,656.88
1946,612.53,708.57,1195.25,405.35,690.3,935,932.7,68.92,621.07,641.26,1047.59,504.33,905.07,917.67,856.22,2571,545.47,5.77,513.21,1758.85,1081.53,1674.35,1775.33,2671.82,412.83,495.51,575.81,1514.01,1510.68,2355.9,2693.31,1182.02,430.97,718.62,76.1,779.23,1410.44,1789.37,23.7,552.49,880.92,617.86,432.83,2885.67,751.25,1010.62,1030.57,673.37,2060.13,1343.56,518.26,1170.11,2722.77,1230.7,246.8,983.42,190.1,832.72,1916.23,1701.79,1593.67,80.67,287.12,568.97,358.72,175.39,1897.95,587.11,766.93,616.14,863.04,1647.33,1210.49,3029.14,2365,368.41,106.62,1941.77,569.51,753.36,203.71,1118.5,140.95,1623.86,2103.8,2186.04,1157.51,758.96,1017.88,84.09,218.85,2323.45,1703.52,2330.21,612.17,759.79,1262.85,5.96,520.91,449.89,74.85,2372.1,1025.44,2403.25,729.41,1109.54,624.18,272.49,439.78,1486.81,358.59,2044.16,219.57,452.05,640.76,860.23,1250.4,428.28,1391.63,134.34,1991.94,1850.5,176.25,921.04,692.4
1947,616.13,675.61,1030.08,500.62,617.01,1047.51,953.69,69.87,487.59,608.5,1019.38,387.11,778.83,1183.71,716.55,2799.96,554.95,103.7,654.78,2231.02,1100.33,1869.8,1570.42,3312.34,325.52,514.38,551.12,1392.41,1558.46,2605.59,2920.54,1456.78,482.3,600.43,57.03,498.66,1352.13,2210.41,27.55,504.42,868.53,697.04,409.41,2810.01,747.98,887.33,1355.56,628.33,3282.88,2041.9,487.37,1142.93,2886.63,1245.57,209.34,967.07,209.59,839.86,1862.01,1966.6,1587.12,78,278.38,732.58,390.28,97.71,1912.43,554.98,841.41,620.41,824.86,1339.17,1199.59,3285.2,2365,306.14,115.81,1941.77,551.79,756.06,211.75,1023.18,294.74,1410.08,1824.14,2435.71,1223.15,646.78,856.37,79.16,231.44,2395.97,1492.34,2704.33,574.25,1012.54,1051.84,103.43,629.65,438.46,79.17,2535.4,1948.25,2043.15,656.58,1252.8,473.44,238.54,368.95,1521.53,368.24,1517.65,144.3,463.06,558.1,1154.33,1299.74,600.04,1058.43,165.07,1864.39,1818.2,154.27,973.31,544.61
1948,627.54,698.51,1243.7,400.07,672.62,951.72,809.52,85.83,504.75,508.79,1228.5,374.1,961.76,999.09,797.21,2532.28,469.63,103.86,618.25,2197.37,1259.77,1768.04,2272.77,2924.78,456.2,501.66,585.16,1538.99,1653.16,2359.24,2845.6,1586.17,476.61,679.79,74.01,660.99,1442.06,1727.53,39.2,666.8,792.36,559.65,518.77,3117.56,778.18,986.51,1089.67,560.21,3077.13,2207.69,595.72,1125.76,2855.8,1239.09,218.92,911.99,312.76,838.54,1942.82,2669.13,1627.44,118.74,223.74,621.84,332.71,95.18,1464.98,659.09,689.78,694.55,956.55,1431.19,1145.76,2934.29,2365,333.26,99.92,1941.77,506.76,732.4,230.44,992.14,231.89,1505.43,1766.06,2566.23,1162.73,733.45,1142.74,78.61,312.7,2264.02,1560.42,2204.44,643.84,826.94,938.99,98.76,566.65,468.61,79.43,2636.9,2049.92,2738,777.1,1616.72,591.02,339.57,323.68,1608.09,494.54,1830.5,263.29,454.76,560.08,919.63,1214.02,511.56,1203.26,160.94,2040.89,1814.35,150.02,1042.69,708.76
1949,641.88,694.81,1075.61,489.41,604.39,944.21,1107.92,78.23,516.4,442.4,1128.29,385.24,680.09,1145.82,800.79,2861.53,571.54,121.22,587.73,1472.65,1117.89,1762.25,1877.07,3565.06,354.41,506.27,616.75,1200.07,1681.92,2632.59,3428.91,1267.14,531.88,670.12,81.13,718.85,1410.79,2374.88,39.32,645.96,803.7,541.72,527.72,3256.48,641.43,825.33,1294.14,697.04,2175.11,1611.5,541.8,1139.65,2854.31,1030.38,220.73,926.94,393.17,788.03,1977.88,2087.83,1784.01,150.08,245.94,452.54,436.25,112.67,1769.6,658.35,720.54,661.02,737.13,1383.21,762.64,3335.18,2365,305.78,90.55,1941.77,661,676.09,209.37,854.89,254.07,1655.77,1699.31,2561.9,1142.06,613.65,1174.44,64.11,243.53,2591.43,1576.77,2292.92,601.87,616.67,976.07,99.01,623.03,439.5,79.18,2273,1489.4,2898.72,759.64,1135.09,642.98,291.77,297.89,1685.68,525.23,1863.21,260.31,421.5,515.73,738.48,1067.31,518.3,1183.19,210.23,2013.37,1971.42,167.43,819.65,547.96
1950,604.1,684.08,1237.67,619.38,774.45,1105.05,1089.82,65.04,503.01,510.32,1168.28,375.65,988.06,959.19,900.63,2378.97,464.45,22.85,650.23,1815.63,1093.58,1765.13,2040.03,2950.62,426.29,517.49,656.74,1625.24,1636.49,2940.57,3340.59,1432.99,382.95,728.69,83.21,912.61,1385.98,2055.44,32.1,661.28,912.66,476.19,489.2,3373.46,794.42,971.02,997.05,676.16,2300.48,1892.17,607.66,1033.26,2922.09,1185.26,191.35,1040.52,236.33,827.39,1958.02,2409.76,1765.1,100.87,223,552.87,341.88,85.59,1292.97,756.15,961.23,843.17,1053.76,1311.2,1314.24,3058.02,2365,442.3,151,1941.77,599.17,661.25,229.73,1119.21,495.97,1498.36,1724.72,2687.66,1109.95,871.25,1032.6,55.62,298.3,2587.29,1489.73,2402.93,635.64,634.83,1190.52,26.67,548.35,460.38,75.88,2479.6,1640.18,2340.9,795.32,1417.82,660.46,301.15,456.01,1669.34,361.52,2126.3,276.6,525.71,556.78,1020.51,1131.66,492.4,1253.63,132.12,2124.06,1842.58,184.07,1002.44,593.38
1951,618.63,710.94,1261.87,385.11,700.53,1154.99,1174.18,82.22,502.36,639.63,1178.35,498.68,1004.27,1250.26,984.94,2499.26,592.89,78.41,467.85,1867.66,1110.87,1631.35,2621.31,3068.39,392.56,525.58,618.75,1754.9,1701.23,2589.6,2970.73,1277.18,438.27,645.38,92.43,848.91,1619.6,2447.86,27.96,531.63,801.68,757.45,467.09,2588.48,999.84,1105.05,1372.86,800.99,2643.61,1699.75,647.49,1000.17,2719.26,1173.84,239.48,938.47,316.51,1039.85,2090.12,2049.18,1648.66,105.46,193.73,951.32,457.8,94.41,1934.92,512.6,690.38,509.26,983.19,1549.59,1164.5,3115.48,2365,383.69,124.81,1643.55,692.77,692.05,192.98,926.86,284.06,1285.29,1880.57,2261.99,1234.9,810.67,972.22,107.96,240.34,2453.93,1525.56,2317.48,497.94,929,1065.22,69.46,574.1,441.65,74.57,2346.9,1702.96,2551,797.71,1593.12,582.28,301,379.97,1731.52,505.33,2094.29,244.32,390.44,629.44,1240.01,1430.69,435.2,1193.35,179.42,2050.29,1870.45,175.86,1044.03,584.05
1952,629.16,620.42,1046.66,401.26,741.15,1002.55,1071.5,66.31,496.53,402.77,1232.62,347.77,1076.43,1109.39,991.89,2724.77,618.21,38.29,735.83,2181.45,1039.56,1696.47,2138.29,3410.22,392.45,504.02,446.79,1799.92,1733.63,2583.55,3036.69,1358.11,547.45,711,84.43,746.39,1385.35,1685.27,28.69,763.66,706.23,600.35,543.89,2879.07,891.26,864.45,1337.23,700.79,2962.15,2081.93,652.07,948.96,3010.65,911.95,226.66,908.2,198.92,792.08,2008.13,2096.36,1741.86,87.87,235.67,544.89,403.16,101.31,1349.74,748.81,758.31,754.02,1142.84,1601.98,1253.05,3230.92,2365,401.17,144.54,2312.5,612.41,756,232.4,1153,218.99,1388.46,1783.65,2513.6,1258.33,835.82,935,64.6,213.85,2345.99,1485.03,2573.45,656.07,831.05,1124.32,38.11,637.74,456.42,68.27,2761.7,1992.62,2218.42,872.03,1476.22,621.15,281.35,413.69,1612.84,498.66,1540.69,261.2,436.26,572.27,930.83,1088.44,635.18,1142.76,223.32,1903.17,1853.37,150.99,1072.99,797.39
1953,615.93,645.33,961.64,460.5,558.37,956.67,951.66,67.66,565.09,545.81,968.28,411.05,626.96,1249.65,922.25,2618.91,537.74,38.19,522.37,1941.15,1101.87,1720.08,2187.83,3070.53,458.74,523.79,702.12,1194.99,1613.64,2557.39,3025.95,1448.37,479.42,540.45,95.93,656.59,1545.34,2927.24,28.84,584.55,755.28,505.98,515.88,2816.22,609.91,1055.46,1189.25,674.45,2557.56,1846.89,522.86,1093.76,2850.1,909.68,244.36,1281.59,391.91,858.48,1950.93,2118.27,1819.78,151.05,280.42,636.46,511.76,105.19,1739.56,545.57,770.43,511.14,607.96,1424.81,1004.04,3102.6,2365,388.2,136.25,2468.03,577.45,629.87,231.83,1058.06,332.56,1392.35,1783.48,2426.43,1234.12,569.12,1175.65,97.39,296.79,2285.52,1688.75,2458.18,494.02,690,1083.36,31.43,544.22,453.85,74.49,2041,1702.94,2593.26,685.07,1205.46,627.32,384.55,423.54,1743.37,745.64,1739.08,383.9,500.76,622.2,900.96,1125.36,447.71,1149.05,252.75,1921.98,1866.83,182.58,1069.99,916.04
1954,675.91,605.02,1346.74,472.69,782.18,1067.37,1267.2,66.32,528.14,512.5,1383.71,367.52,892.04,1107.24,917.78,2381.92,712.4,115.44,585.84,2362.2,1089.81,1685.1,2114.2,3625.2,466.95,540.25,531.03,1775.88,1797.32,2682.06,3495.4,1568.75,554.17,731.09,84.98,871.42,1573.75,1845.76,37.22,699.44,841.14,471.17,598.04,3775.17,797.88,836.96,1252.67,825.29,3267.43,2281.35,628.21,1105.82,3166.4,1253.06,267.65,985.03,324.49,903.63,1760.71,2398.33,1887.93,125.88,255.2,607.98,409.35,190.67,1972.58,682.75,674.64,738.18,957.12,1287.82,890.21,3396.35,2365,411.79,142.68,1718.65,691.52,756.5,227.84,951.97,391.11,1428.87,1717.44,2887.64,1391.29,789.69,1032.99,76.48,281.15,2436.37,1511,2305.52,565.34,534.81,1182.16,107.05,703.98,440.4,73.34,2591.6,2223.45,2855.72,753.24,1449.26,670.24,382.63,447.98,1529.59,491.3,2226.51,257.93,468.53,607.68,857.97,1159.99,509.23,1093.34,177.8,2261.7,1788.91,228.32,930.28,813.33
1955,584.5,642.67,939.11,561.95,699.18,1033.44,1214.16,97.98,517.26,612.54,1193.75,488.55,741.66,1253.77,936.96,2374.72,795.83,168.87,615.87,2294.99,1131.74,1757.73,2371.33,3544.53,580.83,509.19,537.55,1631.86,1769.2,2948.68,3409.22,1236.45,381.2,735.11,85.39,604.51,1761.8,2108.43,27.65,569.48,749.73,727.91,496.47,4014.41,800.42,1045.21,1370.94,790.17,3159.77,1988.83,704.08,1199.61,3196.29,974.21,221.14,891.97,234.79,863.38,1948.33,2157.81,1730.69,77.61,198.19,589.24,369.47,85.5,1804.74,594.7,942.3,595.42,814.73,1252.33,1142.8,3180.99,2365,383.3,139.81,2522.76,797.52,817.79,253.61,1103.34,305.27,1432.04,1829.58,2789.52,1335.5,658.64,964.59,182.32,291.85,2607.36,1499.93,2274.63,590.1,1096.53,935.43,153.18,808.23,461.7,84.26,2212.9,1906.22,2611.82,841.58,1487.73,528.64,235.15,388.98,1546.79,467.71,1976.1,250.29,574.29,521.2,987.76,1246.98,619.67,1083.92,151.57,2093.9,1757.41,184.53,969.56,809.69
1956,608.43,590.89,1062.93,606.68,739.55,988.27,1168.16,64.95,585.05,570.13,1234.61,476.53,872.41,987.02,885.41,2666.45,698.83,52.78,678.41,2239.64,1071.67,1840.94,2554.27,3629.85,415.6,504.21,481.6,1623.93,1739.05,2812.53,3518.03,1147,396.08,702.17,82.27,613.72,1434.75,2020.22,33.89,649.69,747.97,615.37,434.15,3508.78,780.54,1068.39,1151.1,749.18,2760.15,1862.78,542.14,1268.88,2997.98,1073.75,231.7,1049.19,238.27,856.95,2000.93,2041.87,1757.21,84.86,250.1,627.33,374.72,83.19,1415.74,672.73,965.91,698,908.2,1452.97,1405.33,3327.98,2365,365.59,117.03,1751.75,708.8,667.9,220.57,1210.88,358.95,1500.08,1985.2,2543.06,1108.4,790.84,953.16,62.58,414.92,2558.64,1472.12,2920.61,611.74,826.57,1197.28,35.16,617.81,474.13,64.58,2425.8,1747.66,2704.43,652.34,1355.31,529.89,251.4,396.65,1700.64,417.61,2028.11,281.38,531.52,496.97,1030.11,1187.15,556.22,1180.18,176.23,2111.56,1824.17,180.57,1176.21,818.94
1957,592.26,754.98,1119.5,407,701.18,1107.81,1025.7,94.42,564.05,498.3,1150.21,410.95,913.14,1339.9,966.44,1837.01,672.08,129.49,671.5,2008.2,1190.44,1759.86,2015.06,2979.45,403.96,500.55,535.63,1541.85,1792.85,2406.62,2746.21,1385.35,432.55,665.29,106.37,689.82,1153.33,2439.13,43.04,717.49,832.64,547.29,589.1,2824.29,778.72,791.11,1430.63,649.29,2541.22,1801.35,574.68,985.78,2709.68,1087.99,339.16,939.33,329.92,889.89,1943.12,1809.9,1752.45,136.84,241.93,784.48,366.22,121.36,2067.24,714.03,1071.07,718.61,886.43,1264.57,1126.1,2924.6,2365,402.98,133.78,1652.03,673.18,644.02,205.52,968.26,348.98,1148.36,1826.21,2231.04,1409.3,828.99,1138.93,134.03,342.83,2290.28,1488.23,2037.14,599,630.91,1197.51,99.45,669.34,470.22,83.54,2069.3,1669.95,1757.28,737.35,1267.2,656.14,302.74,376.65,1531.42,546,1454.73,365.44,528.42,518.15,1117.98,1207.51,463.24,1166.75,172.91,1731.1,1729.38,171.45,1036.81,640.12
1958,582.65,686.25,1202.09,436.1,793.33,869.1,1134.49,69.98,585.22,525.08,1335.8,421.94,979.35,821.39,890.12,1940.68,501.63,111.74,723.38,2142.76,1237.11,1689.65,2369.83,2870.39,506.15,511.92,565.46,1789.97,1543.86,2177.94,2573.82,1677.59,370.15,783.78,86.64,789.97,1712.96,2011.28,20.89,551.11,859.56,591.47,458.79,2049.36,941.89,1024.15,1006.43,633.97,3059.73,2006.19,589.02,1112.08,2876.7,1257.18,174.07,904.86,138.05,928.57,1855.81,2848.95,1784.35,50.03,322.9,661.26,490.61,90.3,1555.33,598.05,859.35,679.91,1057.99,1587.14,908.12,2771.78,2365,400.35,140.01,1591.35,593.17,989.69,245.1,1042.64,251.87,1220.05,1733.33,2331.33,1091.92,822.42,959.39,82.83,262.16,2184.27,1656.29,2071.43,672.09,822.1,1199.5,78.4,602.41,465.18,66.02,2074.9,1944.06,2250.73,846.87,1488.35,594.97,189.46,387.04,1432.71,602.8,1798.64,285.59,483.65,535.98,921.05,1170.14,612.8,1274.64,227.81,1755.74,1702.55,150.72,1061.92,869.5
1959,641.62,698.43,1021.76,431.87,524.5,1037.59,1237.35,74.23,628.97,632.28,1139.44,430.22,611.3,1152.59,825.79,2853.67,633.76,61.08,494.24,1967.9,1111.88,1690.5,1699.8,3227.92,331.14,540.26,572.16,1480.9,1658.98,2583.61,2415.01,1302.31,358.55,599.22,81.93,548.71,1138.62,2149.1,31.2,532.61,771.22,772.04,440.64,3158.27,826.93,1101.65,1247.88,702.32,2597.96,1787,575.76,1216.78,2866.78,1079.39,210.34,1192.48,214.01,1004.43,1759,1792.03,1805.39,84.32,257.99,633.72,427.87,97.5,1741.01,551.2,850.88,570.24,662.45,1491.86,996.43,3166.11,2365,356.66,102.45,1874.83,743.37,770.92,278.9,948.15,198.27,1287.57,1595.39,2070.34,1212.56,531.92,972.71,69.24,385.22,2290.16,1655.94,2183.76,501.43,932.3,1145.63,46.87,584.57,464.79,70.19,2504.4,1582.7,2104.99,731.35,1447.28,544.12,207.03,395.2,1577.64,490.86,1360.31,309.97,463.54,540.28,919.18,1201.99,468.66,1571.08,189.31,1812.34,1742.92,158.34,998.11,648.83
1960,587.45,666.97,1290.85,491.12,786.55,1112.34,1258.16,71.69,509.91,503.46,1252.23,367.1,989.85,1220.48,868.06,2272.12,721.99,17.06,690.89,2342.41,1095.64,1734.18,1846.25,3095.96,361.58,512.68,494.31,1917.35,1793.44,2612.58,3189.48,1632.71,343.43,740.96,81.18,835.06,1608.03,1676.31,28.95,649.05,741.85,828.64,490.79,3426.92,1044.95,971.67,1331.75,760.12,3153.07,2164.65,664.43,995.12,2858.21,1344.8,185.36,886.67,165.7,1108.77,2036.89,2859.34,1537.04,55.6,291.65,622.21,403.36,54.67,1769.15,674.05,870.57,752.9,990.79,1255.69,1007.52,3021.25,2365,345.13,105.47,1897.29,736.49,718.96,232.48,939.65,249.2,1226.58,1766.97,2713.81,1275.66,903.12,889.49,164.52,264.94,2447.59,1493.14,2445.69,713.75,1167.04,1073.58,15.36,701.21,463.43,70.16,1929.5,2053.6,2324.16,902.11,1732.31,695.29,177.15,352.36,1504.59,510.37,1499.04,210.79,462.73,567.19,960.92,1178.52,645.64,1009.24,185.25,1856.18,1852.4,178.3,923.78,584.38
1961,640.33,721.1,1125.36,365.09,759.91,1173.94,880.6,70.27,590.6,333.39,1098.18,317.07,994.08,980.19,841.96,2544.27,609.58,94.95,528.18,2468.91,1018.61,1669.5,1870.31,2633.17,442.5,503.89,574.96,1458.39,1503.77,2511.18,2915.15,1167.26,566.47,642.7,58.83,782.65,1455.15,1821.35,43.7,636.32,1031.4,652.05,591.4,3062.13,777.8,939.14,1079.01,592.74,3231.64,2112.44,462.32,1209.09,2544.52,1082.85,219.48,1176.47,323.45,812.67,2136.11,2322.53,1655.81,123.65,250.9,1014.28,278.53,178.54,2282.34,606.25,837.48,604.9,1021.65,1637.86,1303.79,2854.42,2365,353.71,107.42,2299.74,570.22,753.42,241.34,1072.49,258.1,1482.68,1743.04,2317.87,1109.36,903.89,1160.69,89.5,348.73,2445,1555.54,2364.97,596.46,887.35,1197.15,79.89,543.09,483.46,76.81,1894.5,1741.03,1738.75,648.96,1367.36,673.71,291.29,464.45,1690.82,393.83,1721.84,200.04,515.7,529.51,1295.3,1587.76,463.76,1251.73,153.04,1854.43,1938.52,246.71,1217.1,672.04
1962,604.35,658.11,1044.46,460.92,641.91,1078.94,1245.56,43.84,426.97,506.49,1218.84,435.19,848.55,1312.4,930.55,2149.39,617.67,19.8,718.8,1945.85,915.52,1715.49,1912.44,3475.24,360.23,524.26,446.71,1364.19,1815.82,2673.4,3214.6,1087.75,503.45,655.13,91.08,705.93,1241.07,1656.33,28.02,737.17,765.39,674.18,570.23,3057.95,762.48,880.96,1407.74,882.1,2805.08,2033.07,550.07,1109.42,3033.19,1053.8,190.83,966.17,162.79,827.48,1806.49,1674.61,1604.88,51.03,231.66,690.05,365.11,91.78,1751.58,708.52,718.39,695.25,858.39,1211.41,1252.74,3210.05,2365,366.24,117.25,1989.56,720.85,668.89,221.69,1186.27,181.16,1643.62,2000.82,2598.63,1324.11,741.4,1070.49,75.68,263.9,2487.69,1521,2541.85,630.15,756.56,869.06,13.83,600.87,470.32,64.68,2201.3,1889.36,1908.11,772.05,1559.74,611.9,229.3,422.39,1541.48,457.24,1587.66,268.64,434.53,560.52,1096.35,1310.47,552.55,867.6,188.33,1939.75,1733.18,164.16,1243.7,828.18
1963,571.51,611.54,1038.75,488.83,620.18,1060.18,1271.8,68.58,621.14,809.62,1046.69,625.11,748.26,1384.02,935.44,2274.78,644.12,29.19,522.69,1850.26,927.77,1638.6,2006.1,3118.79,437.31,525.2,651.25,1621.2,1631.14,2663.12,3089.15,1478.9,414.31,608.34,90.35,718.9,1409.78,1803.7,33.76,505.15,910.08,817.81,470.72,3282.63,885.75,1234.27,1617.82,772.81,2673.01,1837.18,616.46,1095.08,2476.97,1032.65,238.84,916.75,279.65,1014.85,1999.67,3259.01,1750.09,114.28,270.39,892.59,421.1,83.09,2486.93,533.17,942.1,603.97,763.97,1405.94,1326.35,2891.43,2365,345.72,108.85,1453.16,760.27,727.17,216.5,1117.63,417.13,1507.31,1590.53,2539.53,1335.28,686.07,993.62,178.93,218.64,2306.61,1457.91,2142.65,550.06,1256.27,1005.9,40.07,567.45,458.15,85.09,1721.1,1574.66,2378.45,731.55,1432.19,581,377.9,380.83,1616.25,454.84,1831.16,304.95,524.04,710.48,1254.74,1356.92,490.87,1607.14,216.7,2045.1,1916.69,364.93,1090.58,617.52
1964,637.12,685.37,939.22,457.75,599.84,915.39,1072.79,87.4,505.42,455.5,1227.71,353.12,765.94,1079.76,959.85,2511.32,601.86,178.56,570.81,1869.55,1051.7,1872.63,1847.24,2832.13,238.76,530.82,485.15,1370.42,1730.1,2617.75,2893.47,1360.16,421.44,663.05,79.69,636.7,1199.63,1825.97,32.59,477.98,943.97,523.81,471.31,3126.33,727.66,945.27,1179.17,605.11,2727.2,1869.49,639.91,1133.43,3021.07,1090.76,196.79,994.04,346.97,934.38,1874.93,2072.56,1629.07,109.25,274.07,706.01,381.53,40.8,1379.27,502.11,831.49,522.89,719.76,1430.66,899.86,2932.99,2365,390.31,124.25,1502.73,672.65,684.47,288.6,848.93,136.09,1336.74,1701.59,2488.91,1210.42,696.46,1204.03,65.58,294.55,2383.5,1492.66,2626.08,555.63,685.65,994.46,143.2,661.02,440.31,77.45,2837.7,1756.47,1611.23,779.23,1454.64,599.55,265.66,430.83,1646.49,522.14,1626.3,307.7,426.11,516.89,1009.59,1250.3,532.65,998.74,205.91,1839.8,1875.28,275.87,856.11,569.68
1965,578.82,697.66,1183.82,363.58,877.79,944.01,912.94,72.28,553.28,585.76,1410.64,445.43,1118.28,1045.1,873.45,2381.05,529.47,62.91,570.33,1990.65,1029.1,1771.15,1805.56,3446.37,217.02,523.8,704.59,1948.42,1642.91,2417.24,2838.12,1090.63,465.81,785.99,75.98,762.16,1512.89,2381.3,36.68,544.85,749.42,635.5,522.52,2619.57,986.98,881.59,1258.68,629.52,2526.48,1750.86,776.86,906,2476.56,1212.93,200.42,768.48,316.68,889.5,1782.31,1775.4,1739.56,119.98,239.97,585.19,376.33,84.52,2002.11,567.25,566.35,610.59,1194.57,1675.17,1104.99,3067.74,2365,364.55,139.93,2458.94,541.1,730.95,192.25,1005.47,224.45,1316.55,1882.71,2208.08,1176.26,967.06,972.64,72.63,286,2269.9,1577.17,2332.51,641.78,918.19,1318.11,52.99,597.72,456.37,70.3,2006.9,1569.12,1856.9,962.45,1742.83,623.53,306.08,329.58,1550.79,500.14,1675.67,267.6,354.72,622.49,987.11,1091.64,599.95,1028.19,163.39,1784.41,1758.33,212.5,892.35,406.43
1966,566.84,628.66,1234.96,416.34,878.05,1075.88,1193.56,63.62,597.65,543.29,1398.41,483.33,1139.24,1058.85,853.43,2135.77,792.19,38.42,662.96,2335.97,973.34,1735.81,2765.79,3330.4,433.04,528.46,603.62,1787.56,1767.64,2595.61,3522.35,1676.43,500.4,838.3,73.47,856.44,1443.59,1893.09,43.99,685.88,847.97,649.82,544.73,2244.81,947.6,863.41,1214.34,758.85,2854.53,2322.92,718.04,984.48,2843.53,1232.38,174.56,896.02,292.05,999.63,2060.33,2573.01,1857.67,115.97,268.31,686.16,471.95,68.11,1723.85,680.29,682.03,693.16,1163.04,1535.17,956.54,3373.45,2365,347.64,116.83,1408.78,693.49,807.43,235.86,926.25,308.78,1200.03,1746.12,2939.26,1229.44,1006.25,1027.78,77.47,264.7,2474.31,1453.76,2451.78,733.24,980.55,1022.91,38.81,771.71,502.37,64.22,2326.4,2037.84,2179.89,962.2,1472.54,667.97,252.99,374.26,1708.99,568.74,2191.41,223.93,386.06,596.07,934.07,1195.92,692.98,1274.08,172.3,2068.36,1914.9,155.68,917.13,663.75
1967,591.39,685.76,1231.02,435.8,745.71,1147.39,949.47,48.12,524.96,598.99,1122.49,476.87,804.26,1125.08,820.43,2175.78,550.45,32.55,638.12,1929.06,966.18,1717.87,2108.38,3096.69,520.25,508.79,551.78,1479.58,1642.69,2549.56,3108.42,1107.26,530.73,674.04,81.47,868.15,910.87,1799.77,39.47,656.86,1082.36,534.39,572.47,2422.3,726,1088.97,1129.14,612.49,2430.13,1600.14,519.46,1061.24,2554.06,1120.27,202.52,1006.32,331.94,747.57,1679.11,1249.16,1501.22,128.29,238.19,860.29,371.38,125.77,2044.6,642.24,876.7,675.69,917.05,1582.11,1130.08,3102.59,2365,363.19,135.26,1770.66,646.11,815.16,247.97,1109.25,377,1238,1757.57,2359.31,1146.44,782.14,1270.1,97.69,363.39,2500.81,1566.26,2239.58,691.1,641.59,897.22,32.14,590.25,449.74,82.19,2710.2,1343.5,2420.93,699.39,1226.77,706.73,386.1,367.94,1411.29,498.26,1719.03,237.67,550.41,655.54,1226.14,1233.81,536.93,1397.07,210.15,1922.92,1737.27,253.62,1077.96,670.73
